,,,,,,,,,,,,,,,
Normais Climatológicas do Brasil 1961-1990,,,,,,,,,,,,,,,
Número de Dias com Precipitação Maior ou Igual a 1 mm (dias),,,,,,,,,,,,,,,
Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
83184,Morro do Chapéu,BA,8,9,9,8,8,10,8,6,4,5,7,9,91
82986,Paulo Afonso,BA,4,5,6,8,10,10,11,5,3,2,3,4,71
82979,Remanso,BA,7,7,9,5,1,1,0,0,0,2,7,8,47
83229,Salvador (Ondina),BA,10,13,16,17,20,19,20,15,12,10,11,10,173
83076,Santa Rita de Cássia (Ibipetuba),BA,10,10,9,6,1,0,-,0,1,4,10,11,-
83223,São Francisco do Conde,BA,8,9,12,15,20,19,20,14,7,6,8,8,146
83190,Serrinha,BA,7,10,10,9,13,14,13,10,6,5,7,7,111
82294,Acaraú,CE,10,13,20,19,12,7,7,1,1,1,1,2,94
82784,Barbalha,CE,11,13,16,12,5,3,2,0,2,3,4,7,78
82777,Campos Sales,CE,8,11,12,10,5,3,2,0,1,1,2,5,60
82583,Crateús,CE,5,9,15,14,8,4,2,1,1,1,1,3,64
82397,Fortaleza,CE,11,15,22,21,19,14,10,5,5,4,3,6,132
82487,Guaramiranga,CE,13,15,22,21,20,14,11,6,7,8,7,9,153
82686,Iguatu,CE,8,11,16,13,8,4,3,2,2,1,1,3,72
82493,Jaguaruana,CE,4,8,13,14,11,7,5,1,1,1,0,2,67
82588,Morada Nova,CE,5,9,15,13,11,6,4,1,0,1,1,2,68
82586,Quixeramobim,CE,7,9,16,14,11,8,5,1,1,1,1,2,76
82392,Sobral,CE,7,13,18,17,13,7,4,1,1,0,1,3,85
82683,Tauá,CE,5,8,12,13,6,4,2,1,1,1,0,2,55
83377,Brasília,DF,17,14,13,9,3,1,1,1,5,13,16,18,111
83646,Cachoeiro do Itapemirim,ES,9,7,7,8,7,4,6,4,6,11,12,12,93
83597,Linhares,ES,12,10,11,9,7,6,9,6,9,12,12,12,115
83648,Vitória,ES,11,7,9,9,8,6,9,5,9,12,11,12,108
83368,Aragarças,GO,19,15,14,8,2,1,1,2,5,9,13,18,107
83526,Catalão,GO,17,14,12,7,3,1,1,1,4,10,13,18,101
83379,Formosa,GO,17,16,13,9,3,0,1,1,3,11,14,20,108
83423,Goiânia,GO,18,15,15,8,4,1,1,2,5,12,16,19,116
83374,Goiás,GO,18,16,15,8,3,0,1,1,4,10,16,18,110
83522,Ipameri,GO,18,14,13,8,3,1,1,2,4,9,13,20,106
